domain,liberal_pre,liberal_post,liberal_diff,conservative_pre,conservative_post,conservative_diff,DID,SE,CI_lo,CI_hi,p_value,n_total,n_liberal_pre,n_liberal_post,n_conservative_pre,n_conservative_post
Housing,0.12076358538797724,0.08714154270817359,-0.03362204267980365,0.1286163354467473,0.08845893883068605,-0.040157396616061256,0.006535353936257607,0.0045744525793827906,-0.002689872818935815,0.015355110594189649,0.134,80943,24254,26084,18769,11836
Defense,0.2965929316043733,0.21874728520545564,-0.07784564639891764,0.24038703191756722,0.23495426095329802,-0.005432770964269196,-0.07241287543464844,0.010326677513863075,-0.09304086037558183,-0.05270110536888195,0.0,31489,7866,11511,7958,4154
Education,0.5093085106382979,0.3995191714954999,-0.10978933914279793,0.42293333333333333,0.4506278538812785,0.02769452054794519,-0.13748385969074312,0.013484763373874381,-0.16307184278942072,-0.11056788921164062,0.0,30996,7520,16222,3750,3504
Welfare,0.25459837019790454,0.2676986787615855,0.01310030856368094,0.191198224852071,0.28198326872066926,0.09078504386859826,-0.07768473530491732,0.010593666872058732,-0.09821427061808201,-0.057034275020921614,0.0,29041,8590,10142,5408,4901
