subcategory,DPK_pre,DPK_post,PPP_pre,PPP_post,DPK_diff,PPP_diff,DID
stability,0.11915329463980881,0.08842938847338319,0.09527754763877382,0.08882521489971347,-0.03072390616642562,-0.006452332739060346,-0.024271573427365273
supply,0.3103448275862069,0.29520457545094586,0.2874896437448219,0.28557784145176696,-0.015140252135261045,-0.0019118022930549317,-0.013228449842206114
speculation,0.19392284055991807,0.07831060272767268,0.16942833471416735,0.07640878701050621,-0.11561223783224539,-0.09301954770366114,-0.022592690128584253
rental,0.33458518265619663,0.40607127144742633,0.2903893951946976,0.2932187201528176,0.0714860887912297,0.002829324958119994,0.0686567638331097
taxation,0.12529873677022874,0.09766827980642323,0.14498757249378624,0.1346704871060172,-0.027630456963805505,-0.010317085387769043,-0.017313371576036463
