subcategory,DID_coef,SE,p_value,ci_low,ci_high
stability,-0.02427157342736399,0.013579130915758542,0.07387006863681571,-0.05088667002225073,0.0023435231675227527
supply,-0.013228449842207913,0.021083937981169497,0.5303850342350029,-0.054552968285300124,0.028096068600884302
speculation,-0.02259269012858031,0.014522995744064548,0.11979147654486608,-0.05105776178694683,0.005872381529786204
rental,0.06865676383310568,0.021578510308990596,0.0014640361105643907,0.02636288362748411,0.11095064403872724
taxation,-0.017313371576035415,0.015458240522196963,0.2627098423125489,-0.04761152299954146,0.01298477984747063
