bloc,period,entropy,max_entropy,normalized_entropy,n_speeches
DPK,post,1.3809523543923503,1.6094379124341003,0.8580339407463129,2273
DPK,pre,1.5212301203707967,1.6094379124341003,0.9451934172906995,2929
PPP,post,1.4630215883761624,1.6094379124341003,0.9090264228730022,1047
PPP,pre,1.5288723128555335,1.6094379124341003,0.9499417784580954,2414
