bloc,period,total,n_critical,n_supportive,n_mixed,share_critical,share_supportive,share_mixed
DPK,post,2273.0,683.0,412.0,1178.0,0.30048394192696876,0.18125824901011878,0.5182578090629124
DPK,pre,2929.0,778.0,660.0,1491.0,0.26561966541481735,0.22533287811539773,0.5090474564697849
PPP,post,1047.0,311.0,204.0,532.0,0.29703915950334286,0.19484240687679083,0.5081184336198663
PPP,pre,2414.0,647.0,376.0,1391.0,0.268019884009942,0.15575807787903895,0.576222038111019
