bloc,period,stability,supply,speculation,rental,taxation
DPK,post,0.08842938847338319,0.29520457545094586,0.07831060272767268,0.40607127144742633,0.09766827980642323
DPK,pre,0.11915329463980881,0.3103448275862069,0.19392284055991807,0.33458518265619663,0.12529873677022874
PPP,post,0.08882521489971347,0.28557784145176696,0.07640878701050621,0.2932187201528176,0.1346704871060172
PPP,pre,0.09527754763877382,0.2874896437448219,0.16942833471416735,0.2903893951946976,0.14498757249378624
